tenure_years,product_count,has_direct_deposit,login_freq_90d,avg_balance_trend,nsf_count_6m,complaints_6m,cd_maturing_90d,debit_swipe_delta,churn
16.19,4,1,17,-266.18,1,0,0,23.65,0
12.06,3,1,16,484.31,0,0,0,-22.02,0
0.28,1,0,20,-779.18,0,0,0,6.84,0
0.16,3,1,15,338.44,3,0,0,-8.92,0
2.83,4,0,16,456.94,2,0,0,7.16,0
9.98,3,1,7,478.25,0,0,1,-26.35,0
26.19,1,0,14,-782.93,0,0,0,-19.28,0
0.98,3,0,17,157.28,1,0,0,7.13,1
5.41,4,1,14,-334.38,0,2,0,-9.45,0
2.88,3,0,28,-703.07,1,0,0,-4.85,0
21.02,3,0,25,-206.93,0,0,0,27.54,0
11.08,2,1,14,-452.49,1,0,1,2.06,0
10.93,2,1,14,460.38,0,0,0,13.52,0
3.79,1,0,16,256.53,0,0,0,-11.39,0
3.22,3,0,18,-576.22,0,0,0,-20.12,0
1.92,1,1,21,-362.11,2,0,0,-1.21,0
0.35,2,0,16,-190.35,1,0,0,-22.36,0
12.0,2,1,16,-36.2,2,0,0,-10.48,0
10.06,2,0,19,503.19,2,1,0,3.57,0
40.0,1,0,11,345.39,0,0,0,-1.67,0
34.17,3,0,16,25.7,0,0,1,5.02,0
4.86,3,1,16,-130.32,0,0,0,9.0,0
8.79,1,0,23,-886.68,2,0,0,-17.94,1
17.38,1,1,20,646.0,0,1,0,-14.13,0
11.37,1,1,17,-223.55,0,0,0,-32.68,0
1.7,4,1,19,777.42,0,0,0,-5.56,0
3.59,2,0,17,98.05,0,0,1,11.05,0
0.83,2,1,11,1012.64,1,0,1,22.37,0
18.48,1,1,13,303.16,1,0,0,2.86,0
5.59,3,0,10,-716.01,0,0,0,20.6,0
1.56,4,0,18,-307.21,2,0,0,5.76,0
6.68,4,0,24,-84.57,0,0,0,1.61,0
5.78,3,0,16,-436.89,0,0,0,-9.17,0
2.66,1,1,15,-188.53,2,0,0,-35.78,1
0.72,1,0,19,-683.47,0,0,0,18.35,0
6.68,1,0,17,2.86,0,0,0,-0.8,0
4.41,2,1,19,118.71,1,0,0,20.82,0
8.88,1,1,17,-502.05,2,3,1,-14.24,1
4.41,2,1,14,970.13,1,0,1,36.43,0
11.47,2,1,18,31.76,1,0,0,-3.73,0
4.82,5,0,16,-408.37,0,0,0,-10.38,0
4.94,3,0,21,-814.77,0,0,0,-3.22,0
12.56,4,0,19,29.97,2,0,0,2.56,0
3.1,3,1,21,-130.24,0,0,0,-1.05,0
0.86,1,1,20,391.52,0,0,0,-7.73,0
0.18,3,0,14,-71.69,0,0,0,-27.05,0
8.44,2,1,18,-596.86,1,0,0,-12.06,0
5.81,3,0,15,835.36,0,0,1,16.12,0
7.31,2,1,17,217.81,1,0,0,-13.2,0
1.44,5,0,15,-127.05,0,0,0,-25.75,0
0.88,2,1,22,82.32,0,0,0,-15.83,0
0.1,2,1,15,237.02,1,2,0,-1.33,0
2.59,5,1,21,-714.43,0,0,0,-11.39,0
5.35,1,0,20,78.85,0,0,1,-4.2,1
2.99,3,0,17,-225.06,2,0,0,-11.98,0
3.45,3,1,13,253.65,1,0,1,15.15,0
14.07,4,0,25,-370.09,0,0,0,7.36,0
2.57,5,0,23,-302.35,0,2,0,33.27,0
4.33,5,0,20,831.44,0,0,1,-5.73,0
9.19,1,0,14,615.46,0,0,1,-4.27,0
3.03,4,1,13,-1647.78,0,0,1,17.75,0
5.84,3,1,14,578.38,0,0,0,5.87,0
11.9,3,0,18,-36.83,0,1,0,-14.12,0
17.92,1,0,21,-354.09,0,0,0,8.35,0
0.95,3,0,16,-503.59,0,0,0,5.95,0
15.67,5,0,15,-474.56,0,1,0,-26.91,0
4.07,4,1,22,-339.97,4,0,0,-9.77,0
1.79,2,0,11,-563.57,4,0,1,2.85,1
3.69,1,1,17,-677.3,0,0,0,21.69,0
23.48,2,0,16,-520.19,1,0,0,10.47,0
4.07,4,1,16,161.7,1,0,0,-8.46,0
2.39,3,0,17,25.05,0,1,0,-10.62,0
6.02,2,1,11,277.93,0,0,1,11.97,0
1.65,1,1,16,-33.18,0,0,0,-36.39,0
0.47,2,1,15,-653.34,0,0,1,-12.11,1
0.83,2,0,15,247.22,0,0,1,21.14,0
0.82,5,0,19,-502.34,3,0,1,4.45,1
0.99,3,1,14,323.31,1,1,0,-11.38,0
0.9,2,0,19,-582.96,2,0,0,-18.03,0
6.14,2,0,14,-343.74,2,0,0,12.6,0
1.2,1,1,24,-180.7,1,0,0,1.17,0
2.54,5,1,20,337.2,0,0,0,-3.28,0
13.63,2,0,24,88.0,0,0,1,5.61,1
3.85,2,0,18,10.0,0,0,0,2.47,0
6.61,2,1,21,942.83,1,0,0,1.32,0
1.13,3,0,23,-918.49,0,0,0,-19.86,0
1.28,3,1,19,-519.19,2,0,0,-15.4,0
0.25,3,1,17,-540.59,4,0,0,11.22,0
1.11,2,1,21,-885.33,0,0,0,8.39,0
1.96,2,1,16,-359.76,0,1,0,5.73,0
1.17,1,0,17,343.88,2,1,0,-8.8,0
0.56,3,0,20,-295.82,0,1,0,11.48,1
0.77,1,1,19,-166.5,0,0,0,-5.56,0
3.71,3,1,21,-861.28,2,0,0,19.52,0
1.39,4,0,20,-398.26,1,1,0,-11.2,0
2.72,4,0,18,-230.85,0,0,1,-7.88,0
4.2,2,0,13,321.2,2,2,0,-2.27,1
7.03,2,0,27,-837.46,0,0,0,12.71,0
0.24,1,1,20,-227.5,0,1,1,-0.53,0
9.64,3,0,22,543.41,0,0,0,0.57,0
5.93,4,1,21,-222.54,0,0,0,-5.87,1
0.51,1,1,18,-1057.78,0,0,0,4.02,0
12.41,2,1,16,639.59,2,1,0,-1.06,0
15.22,4,1,24,367.45,0,0,0,-11.76,0
0.38,4,0,21,434.7,0,3,0,1.91,1
1.95,1,0,20,-871.89,0,0,0,2.26,0
9.85,3,1,16,756.23,0,0,0,35.25,0
8.28,1,1,13,-386.64,2,0,0,-9.17,0
1.22,1,1,8,-254.72,0,0,0,-12.59,0
1.41,4,1,16,-351.39,0,0,0,4.19,0
2.78,4,0,20,473.47,0,0,0,-14.89,0
3.98,3,0,20,-89.9,1,0,0,-16.1,0
5.78,1,0,13,240.87,0,0,0,-21.55,0
2.76,4,0,20,37.95,0,0,0,-11.62,0
3.73,2,0,17,-47.52,5,1,0,-11.25,1
8.26,2,1,14,-473.39,0,0,0,-19.25,0
0.22,2,1,14,906.07,0,0,0,-3.75,1
1.75,1,1,16,-731.7,5,0,1,-35.49,0
7.5,3,0,14,206.13,1,0,0,7.38,0
13.53,3,0,19,188.33,1,0,0,-8.35,0
4.3,1,1,13,577.18,0,0,0,-6.15,0
4.56,1,1,19,694.05,0,0,0,8.8,0
0.68,1,1,17,-68.69,0,2,0,5.58,1
3.56,1,0,18,265.2,5,0,1,-9.45,0
4.56,3,1,18,882.44,4,0,0,6.78,0
1.67,4,0,19,-32.59,0,0,1,23.23,0
1.88,1,0,13,-533.22,0,2,0,-15.18,1
2.84,1,1,18,-192.23,0,0,0,11.31,0
0.12,3,0,17,-652.32,0,0,1,-16.7,1
2.33,4,0,23,185.91,0,0,0,17.63,0
1.43,2,1,16,532.23,1,2,0,-10.68,1
2.38,2,0,20,-60.52,2,0,0,-11.25,0
0.77,3,1,23,-810.48,1,0,1,17.24,0
13.27,2,1,27,510.83,0,0,0,10.82,0
5.4,1,0,13,-888.15,1,0,0,-10.19,0
6.82,3,0,5,-772.98,1,0,0,1.91,1
9.34,3,0,17,-89.17,0,0,0,-10.65,0
4.14,3,0,24,125.89,0,1,0,-23.89,0
0.55,3,0,19,211.12,0,0,0,2.84,0
4.62,3,0,14,-33.07,1,0,0,-5.35,0
5.3,1,0,21,880.02,3,1,1,-14.19,0
8.21,2,0,24,32.58,0,0,0,19.57,0
3.39,1,1,14,517.33,2,0,1,-13.68,1
0.82,1,0,21,393.48,0,0,0,2.16,0
2.0,3,1,19,-646.44,1,1,0,16.2,0
2.71,4,1,19,-84.87,2,0,1,-3.84,0
6.23,5,1,19,1061.66,0,0,0,-11.01,0
5.07,3,0,26,-252.18,3,0,0,4.47,0
2.64,1,1,15,-337.31,0,0,0,6.84,0
25.84,1,1,15,85.29,0,1,0,13.15,0
5.58,4,0,18,-234.26,0,0,1,28.07,0
1.62,3,1,21,-396.85,0,0,0,-6.86,1
0.64,3,0,22,-241.64,2,0,1,2.94,0
1.0,3,1,22,716.0,0,0,1,-19.04,0
1.69,3,1,20,-68.31,0,0,0,10.0,0
1.05,4,1,20,-664.04,1,0,0,2.76,0
1.24,1,0,23,-755.87,0,3,0,-2.68,1
2.01,3,1,13,1103.4,0,1,0,-9.27,0
1.14,4,0,21,-111.67,0,0,1,-5.23,0
13.62,2,1,19,217.29,0,0,0,3.54,0
0.5,3,1,21,-385.69,0,0,0,-14.49,0
4.46,2,1,18,160.49,0,0,0,-4.61,0
3.17,5,1,15,729.66,0,0,0,0.25,0
24.23,1,0,15,-326.13,0,0,0,-23.09,0
0.71,3,0,15,229.29,1,0,0,-15.77,1
3.04,1,0,19,-702.87,1,0,0,-9.9,0
20.93,3,1,6,1011.43,0,2,1,23.52,0
12.04,1,1,22,134.27,3,0,0,-12.46,0
10.19,1,1,19,-206.4,2,1,0,-0.84,0
1.79,2,0,15,-148.94,3,0,0,-15.61,0
1.12,4,1,18,-255.02,0,0,0,-11.65,0
6.63,1,0,23,-229.45,2,1,0,-21.62,0
15.9,1,1,18,-1223.75,1,0,1,10.05,0
4.88,3,1,14,-48.98,0,0,0,-19.88,0
5.09,2,1,23,-69.94,0,0,0,13.61,1
1.97,4,1,22,244.33,1,0,0,7.02,1
8.8,1,0,22,-261.57,0,0,0,-1.13,0
1.24,3,1,14,-385.52,0,0,0,14.1,0
2.35,1,0,20,-3.89,0,0,0,46.55,0
3.32,1,1,17,-806.18,1,1,0,7.16,0
4.25,3,0,18,71.71,3,2,1,-16.8,1
1.67,3,1,13,-930.91,0,0,0,22.34,0
0.73,3,0,22,560.41,1,0,0,2.79,0
5.66,2,0,18,342.13,0,0,0,31.67,1
2.04,2,0,21,-463.09,1,0,0,-7.59,1
5.22,2,1,20,330.57,0,0,0,19.23,0
1.01,5,0,19,55.76,2,0,0,-0.0,0
3.94,2,1,17,-504.51,0,0,0,39.85,0
4.56,2,1,16,-1011.44,0,0,1,-4.22,1
0.32,2,1,10,158.22,0,0,0,45.03,0
2.46,3,1,18,-397.14,1,0,0,6.6,0
0.87,2,0,16,547.48,3,0,0,12.7,0
0.39,4,1,19,7.02,0,0,0,25.5,0
27.61,2,0,16,-349.79,0,0,0,-11.82,0
2.33,4,0,13,898.92,1,0,0,14.54,0
9.96,1,1,18,288.22,2,0,0,-4.39,0
1.76,3,0,17,-1827.54,0,1,1,2.27,1
6.86,4,1,21,-243.2,0,0,0,1.25,0
8.57,1,0,20,-692.04,0,1,0,8.59,1
5.43,5,1,25,-399.9,0,0,0,7.95,0
3.83,2,0,19,-72.37,0,0,0,-8.63,0
3.18,5,0,16,177.02,0,0,0,1.87,0
2.57,3,0,18,130.68,0,0,1,-35.02,0
15.92,2,1,14,538.94,1,0,0,14.85,0
10.65,1,1,14,318.3,5,1,1,25.41,0
20.12,2,1,18,287.37,2,0,0,2.86,0
0.8,1,1,19,100.75,1,0,0,-24.09,1
7.88,1,1,12,643.4,2,0,0,11.14,0
16.72,1,0,19,-158.14,0,0,1,-11.46,0
1.2,2,1,19,-145.15,0,0,0,2.73,0
0.41,3,1,21,-952.79,0,0,1,10.28,0
8.11,1,0,19,528.08,1,0,1,8.2,0
5.13,1,0,20,-38.46,4,0,0,16.21,1
11.06,3,1,22,1466.8,2,0,0,2.2,0
0.9,1,1,16,-202.77,0,0,0,2.6,0
9.52,1,1,24,44.29,1,0,1,11.05,0
1.35,1,1,20,273.25,3,0,0,-1.07,0
1.07,5,0,23,-550.95,0,0,0,-10.32,0
1.08,4,1,17,179.27,1,0,0,6.78,0
10.11,2,0,15,17.33,0,0,0,-16.93,0
6.57,3,0,16,-151.84,2,0,0,-1.21,0
4.44,2,0,22,586.3,0,0,0,-20.67,0
2.67,3,1,14,-451.87,0,1,1,-8.32,0
12.58,3,1,18,137.45,1,2,0,-7.7,0
2.99,3,0,11,727.33,0,0,1,-14.76,0
10.18,2,1,14,-353.31,0,0,0,16.51,0
3.47,1,1,18,-148.44,0,0,0,15.27,0
2.84,2,1,21,1172.65,2,0,1,19.71,1
3.73,4,1,18,237.2,0,0,0,-2.82,0
2.15,3,0,15,-253.1,2,0,0,-6.5,0
8.26,4,1,19,401.31,1,0,0,12.05,0
4.19,5,1,21,-284.05,0,0,0,1.93,0
1.59,1,1,10,-782.46,0,2,0,1.85,1
13.79,3,0,26,686.18,0,0,0,-38.16,1
2.91,3,0,15,-551.53,0,0,0,11.35,0
4.71,5,0,17,1225.86,0,1,0,9.36,0
14.22,5,1,16,-244.67,0,0,1,-0.08,0
5.87,3,1,24,1066.63,0,1,0,12.24,0
0.75,1,1,27,-684.34,0,0,0,9.03,0
16.86,3,0,17,512.75,1,2,0,-10.45,0
5.93,1,0,20,249.86,0,2,1,-3.3,0
2.45,3,0,21,418.87,2,0,1,-15.12,0
0.9,4,1,17,484.01,0,0,0,21.93,0
9.48,2,0,13,-248.87,0,0,0,14.66,0
5.81,3,1,10,-654.42,0,0,0,-12.21,0
4.57,2,0,19,-25.46,0,0,1,9.28,0
13.46,2,1,13,111.52,1,0,0,4.18,0
9.32,2,0,13,-235.92,0,0,1,-10.29,0
0.99,3,1,15,138.78,0,0,0,1.86,0
2.24,5,1,24,164.81,0,0,0,12.88,0
1.71,5,0,21,-455.01,0,0,0,14.1,0
8.17,1,1,16,197.49,0,2,1,34.98,0
0.2,4,0,13,-133.61,0,0,0,1.41,0
5.06,3,0,11,-349.99,0,0,0,-3.57,1
8.62,2,0,28,393.69,0,0,1,8.43,0
12.56,1,1,13,-388.5,0,1,0,-2.74,0
2.51,2,1,19,-228.33,1,0,0,-8.77,0
10.33,4,0,21,36.03,0,0,0,-13.89,0
0.7,3,1,18,687.16,0,0,0,-51.41,0
11.24,3,0,21,96.39,0,0,0,11.02,0
0.82,2,1,15,264.14,0,0,0,-24.57,0
3.04,3,1,13,-148.82,0,0,0,-13.2,1
9.58,1,1,11,-39.24,0,0,0,4.39,1
0.97,2,1,22,-24.44,0,0,0,-4.82,0
1.56,3,1,15,146.65,0,0,1,32.24,0
7.69,1,0,15,-147.98,1,0,0,-22.64,1
7.64,4,0,10,670.0,2,0,1,33.58,0
6.15,1,1,19,-186.58,0,0,1,20.71,0
7.1,3,0,16,-853.62,0,0,1,13.64,0
4.69,2,1,18,1371.4,0,0,1,21.59,0
1.74,3,0,21,-163.68,1,0,0,6.07,0
2.55,1,0,22,656.58,4,0,0,-25.55,1
1.2,1,0,24,702.4,0,0,0,7.72,0
14.35,4,1,17,472.61,0,0,1,-22.21,0
5.25,2,1,26,-99.01,1,1,0,-7.93,1
3.07,4,1,19,143.34,1,0,0,-1.17,0
3.72,5,0,16,-637.26,0,1,0,-13.67,0
17.66,1,1,21,995.07,1,0,1,14.19,0
1.0,2,0,15,-425.9,0,0,0,-3.21,0
5.29,3,1,18,-126.95,0,0,0,6.14,0
4.23,5,0,22,49.49,0,0,0,-0.14,0
5.67,4,1,20,-53.72,0,0,0,1.89,0
0.11,2,1,18,-328.44,1,1,0,-13.3,0
12.34,3,1,16,697.17,1,0,0,-17.61,0
16.14,1,1,18,475.14,2,0,0,-2.31,0
5.0,5,1,12,161.02,0,1,0,-14.49,0
7.16,5,0,18,-199.78,0,0,0,20.9,0
15.34,1,1,14,532.14,0,0,1,-20.65,0
7.37,2,1,11,-232.23,0,3,0,35.06,0
0.99,1,0,18,785.2,1,0,0,4.53,1
5.15,2,1,19,55.61,0,0,1,1.04,0
5.6,4,0,14,614.89,0,0,0,-8.1,0
3.31,2,0,18,-56.91,0,0,0,9.85,0
8.0,1,1,18,35.77,0,0,0,-3.06,0
16.34,2,1,21,612.71,0,0,0,4.51,0
15.59,5,1,14,1096.96,0,0,0,12.63,0
3.6,3,0,24,780.18,1,0,1,10.04,0
0.72,2,0,22,438.57,1,2,0,18.6,0
25.14,1,0,16,294.64,0,1,0,8.07,0
10.95,5,0,19,-253.47,0,0,0,-14.27,0
0.8,4,1,19,147.61,1,0,0,-31.2,0
15.22,2,0,13,-456.52,0,0,0,3.17,0
12.24,1,0,17,187.89,1,0,0,3.38,0
4.39,1,0,12,220.03,0,1,0,28.89,0
5.37,1,0,19,-980.42,0,2,0,-1.74,0
3.05,3,0,22,19.37,3,0,0,5.62,0
0.34,5,1,11,207.44,0,0,0,11.66,0
2.45,2,1,29,-41.85,0,0,0,7.7,0
9.74,4,1,21,179.02,0,0,0,12.66,0
0.1,2,1,16,-670.86,0,0,0,-12.27,0
2.43,3,0,20,-387.93,0,0,0,-14.65,0
3.05,3,1,21,517.47,0,0,1,-4.21,0
4.63,1,0,17,0.29,0,0,0,-32.61,0
15.14,2,1,20,169.94,3,0,0,-0.59,0
2.55,3,1,11,-273.26,0,0,0,-9.89,1
2.56,1,0,18,9.75,0,2,1,4.83,0
8.03,2,0,14,-1151.01,0,0,0,-3.98,0
3.61,2,1,18,423.01,0,0,0,-15.23,0
1.53,5,1,13,903.97,0,1,0,19.66,0
3.61,2,1,17,-532.51,0,0,0,1.24,0
0.91,4,1,22,-470.17,2,0,0,12.94,0
1.16,2,1,19,220.44,0,0,0,2.75,0
4.14,3,1,19,736.94,0,0,0,6.96,0
3.26,3,0,22,-1.05,1,0,0,-20.41,0
14.78,4,0,19,-614.66,0,0,0,19.17,0
2.7,2,0,23,-104.31,1,0,0,13.18,0
5.21,3,0,21,-514.97,0,0,0,-0.28,0
6.0,3,1,16,-334.42,1,0,0,4.32,0
0.1,2,0,18,-152.02,1,0,0,15.04,0
6.54,1,1,22,-464.66,2,0,1,-5.58,0
1.18,1,0,23,-388.95,0,0,0,-23.75,0
19.48,1,1,21,37.27,1,0,0,-5.3,1
0.97,4,1,19,107.52,0,0,0,2.29,0
3.21,1,0,19,-711.99,1,0,0,-0.49,0
0.54,1,0,23,198.19,0,0,1,19.76,0
34.61,3,0,17,-190.97,0,0,0,-14.4,0
4.19,2,0,17,360.13,0,0,0,-12.5,0
5.43,2,1,21,390.25,0,0,0,-15.87,0
0.42,1,1,17,-272.27,0,0,0,6.43,0
8.32,5,1,14,307.07,0,0,1,-22.89,0
1.41,4,0,14,-418.48,0,0,0,11.16,1
13.7,4,0,16,661.88,1,0,0,-13.99,0
1.38,2,1,13,-399.57,0,0,0,-11.6,1
1.27,3,0,12,176.37,0,0,0,26.55,0
0.22,1,0,19,-93.8,0,0,1,18.49,0
3.83,1,1,17,-508.45,0,0,0,1.79,0
4.99,1,0,11,450.46,0,0,0,-19.67,1
0.41,3,0,18,-307.07,5,0,0,30.22,1
8.96,2,0,21,-850.04,0,0,0,-2.94,0
3.62,2,1,20,-1441.01,1,0,0,3.71,0
4.46,1,1,20,-437.52,0,0,0,13.68,0
3.49,2,1,19,687.95,2,1,0,-29.44,0
3.07,3,1,25,628.87,0,0,1,-9.6,0
4.92,2,0,31,-359.3,2,0,0,-1.02,0
1.01,3,1,19,-187.23,0,0,0,1.96,0
1.2,1,0,18,-232.46,0,0,1,-19.55,1
11.87,4,1,19,-666.72,0,0,0,4.9,0
17.53,3,1,21,-474.42,0,0,1,0.51,0
2.8,1,1,22,490.57,0,0,0,25.01,0
1.89,1,0,14,251.94,0,0,0,15.0,0
6.2,3,0,11,136.54,1,0,0,-4.04,0
3.15,4,1,15,-667.57,0,0,0,-2.94,0
0.15,2,0,18,50.35,0,0,0,15.22,0
1.02,2,1,13,-1151.92,0,0,0,4.25,0
7.55,4,1,17,421.4,1,0,1,-20.57,0
6.45,3,1,19,129.29,0,0,0,31.41,0
0.16,2,1,22,-672.62,0,0,0,-14.85,0
1.51,2,0,21,808.21,0,0,0,37.18,0
1.58,1,1,21,-898.08,0,0,0,6.42,1
6.69,3,1,24,265.15,0,0,0,-9.53,0
0.12,2,1,15,277.59,2,1,0,-35.51,1
0.66,5,0,16,-619.84,0,0,0,11.65,0
9.65,2,1,18,-18.93,0,0,1,-23.25,0
1.18,2,0,18,-818.41,1,0,1,5.36,1
6.35,3,1,15,-1423.19,0,3,1,29.0,0
1.63,4,1,18,-533.94,0,0,0,-17.07,0
0.63,4,0,12,-308.31,5,0,0,11.07,1
1.67,2,1,16,322.13,5,0,1,-12.17,0
7.69,3,0,17,33.7,0,0,0,17.0,0
11.62,3,1,16,46.77,0,0,0,0.99,1
10.64,2,0,20,-507.21,2,0,1,-0.29,0
3.04,1,1,21,-265.01,0,0,1,18.11,0
6.62,2,0,17,-464.96,0,2,0,9.38,0
1.38,1,1,19,-612.49,0,2,0,-12.07,1
2.08,4,1,19,-296.85,0,0,0,26.81,0
13.6,2,1,17,37.26,5,0,0,-23.04,0
0.1,5,1,10,-286.32,1,1,0,4.14,0
0.54,2,1,23,-161.75,0,1,0,-12.34,0
1.4,3,1,19,347.46,1,1,0,-22.31,1
0.16,2,0,22,-250.38,0,0,0,-17.01,0
1.2,1,0,18,-666.98,2,0,0,-0.74,1
5.25,2,0,18,281.73,0,0,0,5.25,0
3.28,1,0,24,132.92,0,1,0,15.88,0
13.39,3,1,16,164.33,0,0,0,22.14,0
10.2,2,1,19,312.92,0,0,0,4.17,0
2.51,3,1,18,228.32,0,0,0,-6.65,1
1.8,1,0,19,14.36,0,0,0,15.59,0
2.87,1,1,22,1195.73,5,1,1,-9.22,1
5.35,2,1,21,-642.48,2,0,0,-23.93,0
1.87,5,0,14,-293.21,0,0,0,14.09,0
5.87,3,1,21,483.67,2,3,1,19.86,1
3.16,2,0,22,71.29,3,0,0,-12.33,1
4.82,2,0,17,378.96,1,1,0,29.41,1
3.44,1,1,17,84.88,0,0,0,8.75,0
2.09,5,1,20,687.03,2,0,0,6.51,0
17.79,3,1,22,-503.76,0,0,0,-7.75,0
8.65,2,0,20,671.23,0,0,0,15.26,0
0.91,3,1,15,585.5,0,0,0,-22.87,0
12.17,1,0,15,-605.14,0,2,0,-5.1,1
4.01,5,0,22,315.33,3,0,0,-11.0,0
13.5,1,1,19,-21.52,1,0,0,-19.63,0
9.65,3,1,25,-303.29,2,1,0,12.94,0
3.32,1,0,20,-944.31,1,0,0,5.12,1
0.14,3,1,14,-505.41,0,0,0,12.07,0
1.88,3,0,15,354.06,1,0,0,-4.17,0
4.68,3,1,16,406.92,0,0,0,14.78,0
6.02,3,0,30,-105.36,0,0,0,1.16,0
1.79,4,0,21,408.49,1,1,1,-7.08,1
0.9,1,0,14,472.63,0,0,0,-9.58,0
10.81,2,1,16,77.32,1,0,1,-29.74,1
24.96,1,1,20,-361.17,0,0,1,17.47,0
4.48,5,0,22,220.53,1,0,0,15.76,0
1.13,2,1,16,243.49,0,0,1,43.91,0
1.91,3,1,21,336.97,0,0,0,-5.02,0
0.11,3,0,10,432.7,0,1,1,-10.0,0
14.74,1,1,22,-681.08,0,0,0,-25.52,0
0.75,1,1,15,-254.96,0,0,0,14.4,0
5.16,2,1,12,-949.31,0,0,1,10.95,0
1.92,2,0,14,373.5,1,0,0,23.28,0
4.85,1,0,13,-106.16,0,0,1,-13.75,0
6.32,1,1,18,215.41,0,0,0,10.75,0
10.62,4,1,18,-737.84,0,0,0,-7.83,0
1.39,5,1,25,700.49,3,0,0,20.16,0
0.1,2,0,16,-597.17,3,0,1,8.04,0
0.88,2,1,13,387.28,0,0,0,-23.34,0
13.82,1,0,19,58.98,0,0,0,-1.97,0
12.42,3,1,11,-94.72,0,1,0,-29.22,0
5.46,4,0,17,-135.08,0,0,1,-17.45,0
5.51,1,1,17,-319.03,0,0,0,-16.54,1
6.56,1,0,18,647.6,0,0,0,-9.61,0
1.16,3,1,24,6.31,0,0,0,-3.94,0
14.75,3,1,14,-634.61,0,0,0,2.47,0
3.26,1,0,13,-191.98,0,0,1,1.72,0
2.9,3,0,16,64.17,0,0,0,-0.36,0
4.39,2,1,18,448.9,2,0,0,4.99,0
0.29,2,0,16,-302.31,2,1,0,-18.75,1
1.09,3,0,27,-268.89,2,0,0,1.1,0
8.04,4,0,10,11.72,0,2,0,21.52,0
0.52,2,1,13,436.71,0,0,1,-2.49,0
5.55,5,1,19,-684.38,0,0,0,7.42,0
1.69,2,1,17,252.68,0,1,0,6.02,0
2.96,3,1,17,-232.03,0,1,0,12.93,0
2.04,2,0,22,-162.22,2,0,0,4.31,1
2.64,4,1,18,1000.79,5,0,0,12.68,0
7.62,4,1,16,-98.23,1,0,1,7.61,0
2.12,1,0,16,377.35,1,0,0,9.86,0
5.01,5,0,20,359.46,0,0,0,6.63,0
3.88,4,1,19,-590.01,1,0,0,-15.1,0
6.54,3,1,21,-922.7,3,0,0,-17.56,0
16.57,1,0,24,410.49,0,0,1,-5.3,0
7.91,4,1,17,-541.77,0,0,0,23.27,0
1.45,4,0,26,-832.09,0,0,0,-2.57,0
0.19,2,0,25,513.08,0,1,0,4.64,0
1.83,5,1,15,-509.71,0,0,0,-29.51,0
5.42,1,0,18,-386.26,2,0,0,2.91,1
0.32,1,0,18,987.19,0,0,1,1.29,0
4.12,2,1,14,-829.87,1,0,0,-40.1,0
5.45,3,0,25,-628.14,0,0,0,4.36,0
2.44,3,0,19,-229.85,0,0,0,-24.76,0
8.84,1,0,18,-120.13,0,0,1,-10.88,1
0.68,5,0,13,-446.87,1,0,1,14.92,0
0.47,1,1,10,-579.33,0,1,1,2.36,0
7.82,1,1,21,755.0,4,2,0,-6.73,1
4.11,1,1,26,131.49,1,0,0,-8.01,0
7.0,3,1,19,292.58,1,0,0,-6.27,0
3.42,5,1,17,-68.61,2,0,0,2.41,0
1.7,3,0,13,144.73,5,0,0,-18.01,1
10.26,4,0,24,466.45,0,0,0,16.87,0
9.64,1,0,20,-498.15,1,0,0,-17.21,0
7.12,2,0,18,132.42,0,0,0,-25.91,0
1.91,2,0,13,348.02,0,0,0,14.87,0
5.35,2,1,27,772.4,0,0,0,-6.55,0
2.69,1,0,18,973.95,0,0,0,1.06,0
0.58,3,1,17,34.93,0,0,0,9.82,0
14.96,2,0,22,569.32,0,0,0,-10.79,0
0.88,3,0,23,-1335.08,1,0,0,2.06,1
18.0,2,1,17,776.14,0,0,1,9.72,0
3.54,1,0,17,-362.94,0,0,0,24.65,0
1.23,3,1,25,-120.55,2,1,0,-7.67,1
4.68,1,1,16,220.55,0,0,0,-6.94,0
12.38,4,0,20,-76.72,0,0,1,8.45,0
7.91,3,1,19,98.23,5,0,0,3.13,0
9.86,1,1,21,793.85,0,0,0,-2.06,0
6.45,5,0,19,-192.11,0,0,1,23.89,0
7.07,2,0,17,-543.46,1,0,0,-25.24,1
11.35,1,0,5,906.73,0,0,0,-21.33,0
1.72,3,0,10,263.38,0,0,1,-25.06,0
4.03,2,1,18,961.12,1,0,1,18.03,0
1.5,4,1,12,431.81,0,0,0,7.72,0
26.37,4,0,16,-661.8,0,0,1,-20.56,0
17.3,5,0,20,322.69,0,0,0,-1.85,0
0.24,2,1,16,-491.97,1,0,0,-0.42,0
7.34,2,0,15,3.72,1,0,0,-33.14,0
15.56,3,0,14,-37.86,2,2,0,2.82,1
1.19,1,0,22,-808.83,0,1,0,-17.66,1
5.04,2,0,13,-406.41,1,0,1,10.6,0
14.83,2,1,16,1102.59,1,0,0,-17.2,0
0.21,1,0,12,119.19,0,0,0,3.29,1
7.17,2,0,10,-87.8,4,0,0,19.42,0
2.12,4,1,17,906.45,2,0,0,14.62,0
15.49,4,0,8,-198.12,0,0,0,7.61,0
21.25,1,1,21,-45.71,1,1,0,-1.22,0
17.32,1,1,21,495.4,1,1,1,-22.5,0
3.86,2,0,17,-200.37,0,0,1,-6.59,0
